2018-07-19,6809,8126.6846
2018-06-02,12359,15931.1939
2018-01-31,16218,19164.8746
2018-01-30,16835,19802.5523
2018-06-01,13246,24411.9328
2018-05-04,13888,20021.6246
2018-03-17,7450,5318.2498
2018-03-16,8797,8324.1857
2018-02-09,12852,13110.8802
2018-02-08,13201,12166.7463
2018-03-13,9439,8753.8711
2018-03-12,10459,11103.3653
2018-03-11,9130,9202.917
2018-03-10,9798,9409.2629
2018-02-03,15742,16015.641
2018-02-02,17100,17334.1909
2018-02-01,15650,15395.8966
2018-04-20,17816,21034.2149
2018-02-07,13661,13781.153
2018-02-06,13339,16436.8684
2018-02-05,12622,14889.1056
2018-02-04,13694,14712.9086
2018-05-21,17168,23531.619
2018-05-23,14826,25650.6548
2018-04-25,15059,22961.6092
2017-12-04,14548,16773.0078
2018-05-20,17923,17592.069
2018-04-27,14182,19484.9334
2018-04-26,17401,20085.9218
2017-12-16,20886,23800.2754
2017-12-17,22504,28142.4128
2017-12-14,21012,16010.0578
2017-12-06,12411,16097.2894
2017-12-12,25605,22357.1999
2018-03-19,9854,8918.0279
2017-12-10,23534,16847.7081
2017-12-11,25616,19371.658
2018-03-18,9159,9639.6278
2018-05-22,15890,26627.3464
2017-12-19,20445,24204.2686
2018-07-17,9503,9511.3449
2018-04-24,17042,23461.5877
2018-05-02,17582,31156.8268
2017-12-02,12277,14533.1278
2018-01-21,15643,12704.3314
2017-11-30,11135,14109.564
2018-05-31,14656,26609.9912
2018-05-30,12325,21201.8042
2017-11-26,11849,14999.921
2018-05-03,17002,24940.3922
2018-06-11,10128,10475.0188
2018-06-12,10388,10943.817
2017-12-05,16536,15867.5502
2018-07-15,6205,5737.6152
2017-12-07,15109,18045.9246
2018-06-13,10396,11440.516
2017-12-01,12767,19972.2076
2017-12-03,14855,14860.1227
2018-07-05,5719,14677.0564
2018-06-14,10232,13216.5344
2018-05-24,13020,25266.5006
2017-12-09,21419,17045.1969
2017-12-08,19997,22022.5235
2018-06-15,9317,11489.973
